screening_year,age_at_screening,priors,sex,race,recid,compas_recid
2013,69,1,Male,Caucasian,no,not high risk
2013,35,0,Male,Caucasian,no,not high risk
2013,37,0,Male,Caucasian,no,not high risk
2014,21,0,Male,Caucasian,no,not high risk
2014,19,5,Male,Caucasian,yes,high risk
2014,38,0,Female,Caucasian,no,not high risk
2013,53,1,Male,Caucasian,no,not high risk
2013,52,11,Male,Caucasian,no,not high risk
2013,26,3,Male,African-American,no,not high risk
2013,28,2,Male,Other,yes,not high risk
2013,53,3,Male,African-American,no,not high risk
2013,50,0,Male,Caucasian,no,not high risk
2013,30,7,Male,African-American,yes,not high risk
2013,31,15,Male,African-American,no,not high risk
2013,29,12,Male,African-American,yes,high risk
2013,21,0,Male,Asian,no,not high risk
2013,53,0,Male,Caucasian,no,not high risk
2013,33,1,Male,Hispanic,yes,not high risk
2013,25,4,Male,African-American,yes,not high risk
2013,56,0,Male,Hispanic,no,not high risk
2013,26,11,Female,African-American,no,high risk
2014,70,3,Male,Caucasian,no,not high risk
2013,42,3,Male,African-American,no,high risk
2013,42,0,Male,African-American,no,not high risk
2014,45,0,Male,Caucasian,no,not high risk
2014,32,2,Male,African-American,no,not high risk
2013,19,2,Male,Hispanic,no,not high risk
2013,38,5,Male,Caucasian,no,not high risk
2014,47,1,Male,Caucasian,no,not high risk
2013,23,0,Male,Hispanic,no,not high risk
2013,32,2,Female,Caucasian,yes,not high risk
2013,26,0,Female,African-American,no,not high risk
2013,30,2,Male,Caucasian,no,not high risk
2013,44,0,Male,African-American,no,not high risk
2013,18,0,Male,African-American,yes,not high risk
2013,26,2,Female,Hispanic,no,not high risk
2013,25,0,Male,Other,no,not high risk
2013,18,0,Male,Caucasian,yes,high risk
2013,23,0,Male,Other,no,not high risk
2013,31,3,Male,African-American,no,not high risk
2014,20,0,Male,African-American,no,not high risk
2013,54,0,Female,Caucasian,no,not high risk
2013,53,1,Female,Caucasian,no,not high risk
2013,27,11,Male,African-American,no,high risk
2014,27,2,Male,African-American,no,not high risk
2013,33,5,Male,African-American,no,high risk
2014,21,0,Female,African-American,no,not high risk
2013,66,1,Female,African-American,no,not high risk
2013,42,1,Female,Caucasian,no,not high risk
2013,31,2,Female,Hispanic,no,not high risk
2013,36,6,Female,African-American,no,not high risk
2013,22,6,Male,Caucasian,no,not high risk
2013,45,1,Male,Hispanic,no,not high risk
2013,43,0,Male,Caucasian,no,not high risk
2013,25,0,Male,Caucasian,yes,not high risk
2013,29,1,Male,Caucasian,no,not high risk
2014,24,1,Male,African-American,no,not high risk
2013,41,11,Male,Caucasian,yes,not high risk
2013,32,12,Male,African-American,no,high risk
2013,26,1,Male,Caucasian,no,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,27,0,Male,African-American,no,not high risk
2014,26,3,Male,Other,no,not high risk
2013,64,0,Male,Asian,no,not high risk
2013,42,1,Female,African-American,no,not high risk
2013,22,0,Male,Other,no,not high risk
2013,21,8,Male,African-American,yes,high risk
2013,26,3,Male,Other,no,not high risk
2013,42,2,Male,African-American,no,not high risk
2014,58,0,Male,Caucasian,no,not high risk
2013,29,1,Male,Other,no,not high risk
2013,40,9,Male,Caucasian,no,not high risk
2014,30,0,Male,Other,no,not high risk
2014,34,0,Male,African-American,no,not high risk
2013,29,1,Male,African-American,no,not high risk
2013,54,12,Male,African-American,no,high risk
2013,34,2,Male,African-American,no,not high risk
2013,42,6,Male,African-American,no,not high risk
2013,47,8,Male,African-American,no,not high risk
2013,42,4,Male,Hispanic,no,not high risk
2013,26,9,Male,Caucasian,no,high risk
2013,42,8,Male,African-American,yes,not high risk
2013,45,1,Male,Other,no,not high risk
2013,22,0,Male,African-American,no,not high risk
2013,40,1,Male,African-American,no,not high risk
2014,28,0,Male,African-American,no,not high risk
2013,47,0,Male,Caucasian,no,not high risk
2013,29,2,Female,African-American,no,not high risk
2013,31,7,Female,Caucasian,no,not high risk
2013,29,1,Male,African-American,yes,not high risk
2013,19,0,Male,Hispanic,no,not high risk
2013,18,0,Male,Caucasian,no,not high risk
2013,19,1,Male,Other,no,high risk
2013,50,2,Male,Other,no,not high risk
2013,47,2,Male,Caucasian,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,42,0,Male,Hispanic,no,not high risk
2013,25,5,Male,African-American,no,not high risk
2013,18,1,Male,African-American,yes,not high risk
2014,34,2,Male,Hispanic,no,not high risk
2013,26,11,Male,African-American,no,high risk
2013,20,1,Male,African-American,no,not high risk
2013,41,9,Male,African-American,no,not high risk
2014,23,5,Male,Hispanic,no,high risk
2014,31,24,Male,African-American,yes,not high risk
2013,21,1,Female,African-American,no,not high risk
2014,55,19,Male,African-American,no,not high risk
2013,18,0,Male,Other,no,not high risk
2013,25,0,Male,Caucasian,no,not high risk
2013,48,0,Male,Caucasian,no,not high risk
2013,23,6,Male,African-American,no,not high risk
2014,18,0,Male,Caucasian,yes,not high risk
2014,54,27,Male,African-American,no,high risk
2013,24,0,Female,African-American,no,not high risk
2013,62,1,Male,Caucasian,no,not high risk
2014,23,4,Female,African-American,yes,not high risk
2013,18,0,Male,Caucasian,no,not high risk
2013,42,1,Male,Caucasian,no,not high risk
2013,36,6,Male,African-American,yes,not high risk
2013,33,24,Male,African-American,no,high risk
2013,61,0,Male,African-American,no,not high risk
2013,27,1,Male,African-American,yes,not high risk
2013,58,1,Male,African-American,no,not high risk
2013,31,0,Male,Caucasian,no,not high risk
2014,47,8,Female,Caucasian,no,not high risk
2013,20,0,Male,African-American,no,not high risk
2013,31,14,Male,African-American,no,high risk
2013,18,0,Male,Caucasian,yes,high risk
2013,24,7,Male,Hispanic,no,not high risk
2013,23,2,Male,African-American,yes,high risk
2013,35,1,Male,Caucasian,no,not high risk
2014,24,0,Male,Caucasian,no,not high risk
2013,20,2,Male,Caucasian,yes,not high risk
2014,34,0,Female,African-American,no,not high risk
2013,55,1,Male,Caucasian,no,not high risk
2013,44,5,Male,Caucasian,no,not high risk
2013,32,4,Female,Caucasian,no,not high risk
2013,20,3,Male,African-American,no,not high risk
2013,38,1,Male,Caucasian,no,not high risk
2013,29,3,Male,Hispanic,no,not high risk
2013,31,5,Female,Hispanic,no,not high risk
2013,23,3,Female,African-American,no,not high risk
2013,46,1,Male,African-American,no,not high risk
2013,45,0,Female,Hispanic,no,not high risk
2013,42,1,Female,Native American,no,not high risk
2013,44,6,Male,African-American,no,not high risk
2013,42,1,Male,Hispanic,no,high risk
2013,23,10,Male,African-American,no,high risk
2013,50,0,Female,Caucasian,no,not high risk
2013,22,9,Male,African-American,no,not high risk
2013,49,1,Male,African-American,no,not high risk
2013,26,1,Female,African-American,yes,not high risk
2013,36,1,Male,African-American,no,not high risk
2014,44,0,Male,Caucasian,no,not high risk
2014,26,6,Male,Caucasian,no,not high risk
2014,55,0,Male,African-American,no,not high risk
2013,19,2,Male,Hispanic,no,not high risk
2014,24,3,Male,African-American,no,not high risk
2014,29,1,Male,Caucasian,yes,not high risk
2014,35,8,Male,African-American,no,not high risk
2013,49,0,Male,African-American,yes,not high risk
2014,49,3,Male,Hispanic,no,not high risk
2013,25,8,Male,African-American,yes,not high risk
2014,54,4,Male,Caucasian,no,not high risk
2013,23,7,Male,Caucasian,yes,not high risk
2014,31,7,Male,Caucasian,yes,high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,29,0,Male,African-American,no,not high risk
2013,27,0,Male,Other,no,not high risk
2013,17,1,Male,Hispanic,yes,high risk
2013,29,0,Male,Caucasian,no,not high risk
2013,45,9,Female,Hispanic,no,not high risk
2013,63,1,Male,Caucasian,no,not high risk
2014,38,0,Female,African-American,no,not high risk
2013,56,4,Male,African-American,no,not high risk
2013,23,5,Male,African-American,no,not high risk
2013,25,3,Male,African-American,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,55,1,Male,Caucasian,no,not high risk
2013,46,1,Male,African-American,no,not high risk
2014,27,2,Male,Caucasian,no,not high risk
2013,22,2,Male,African-American,no,not high risk
2013,24,0,Male,African-American,yes,high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,33,3,Female,Caucasian,no,not high risk
2013,62,4,Male,Caucasian,no,not high risk
2013,27,5,Male,African-American,yes,high risk
2013,20,1,Male,African-American,yes,not high risk
2014,31,2,Male,Caucasian,yes,not high risk
2013,19,2,Male,Caucasian,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,40,0,Female,Caucasian,no,not high risk
2013,26,0,Male,African-American,no,high risk
2014,41,1,Male,African-American,no,not high risk
2014,23,1,Male,African-American,no,not high risk
2013,44,0,Male,Caucasian,no,not high risk
2013,18,0,Female,African-American,no,not high risk
2013,22,1,Female,African-American,no,not high risk
2013,51,0,Male,Caucasian,no,not high risk
2013,31,3,Male,African-American,yes,not high risk
2013,25,2,Female,African-American,no,not high risk
2013,51,0,Male,African-American,no,not high risk
2013,32,2,Male,African-American,no,not high risk
2013,48,11,Male,Hispanic,no,high risk
2014,20,0,Male,African-American,no,not high risk
2014,49,3,Male,African-American,no,not high risk
2013,25,1,Female,African-American,no,not high risk
2013,34,6,Male,Caucasian,no,not high risk
2013,25,5,Male,African-American,no,not high risk
2013,40,4,Male,Caucasian,no,not high risk
2013,43,1,Male,Hispanic,no,not high risk
2013,38,1,Male,Hispanic,no,not high risk
2014,23,24,Male,Other,yes,high risk
2014,33,12,Male,Hispanic,no,high risk
2014,22,0,Male,Asian,no,not high risk
2013,18,3,Male,African-American,yes,not high risk
2013,25,0,Male,Hispanic,no,not high risk
2013,56,1,Male,Other,no,not high risk
2014,28,13,Male,African-American,yes,high risk
2014,24,9,Male,African-American,yes,high risk
2014,29,0,Male,Other,no,not high risk
2013,25,0,Male,Caucasian,no,not high risk
2013,41,0,Male,Caucasian,no,not high risk
2013,39,7,Male,African-American,no,not high risk
2013,37,5,Male,African-American,no,not high risk
2013,44,2,Female,Hispanic,no,not high risk
2013,53,0,Male,Caucasian,no,not high risk
2013,29,0,Female,Caucasian,no,high risk
2013,22,0,Male,African-American,no,not high risk
2014,29,6,Male,Caucasian,no,not high risk
2013,33,2,Male,African-American,no,not high risk
2013,36,2,Male,Caucasian,no,not high risk
2013,23,0,Female,African-American,no,not high risk
2013,19,0,Female,Other,no,not high risk
2013,34,3,Male,Caucasian,no,not high risk
2013,37,9,Male,Caucasian,no,not high risk
2013,22,1,Male,African-American,no,not high risk
2013,54,3,Female,Caucasian,no,not high risk
2013,56,0,Male,Caucasian,no,not high risk
2014,42,19,Male,African-American,yes,high risk
2013,25,1,Male,African-American,yes,not high risk
2013,51,0,Male,Caucasian,no,not high risk
2013,18,0,Male,Hispanic,yes,not high risk
2013,41,0,Male,Caucasian,no,not high risk
2013,28,5,Male,African-American,no,high risk
2013,27,11,Male,African-American,no,high risk
2013,21,0,Male,African-American,no,not high risk
2014,41,0,Male,Caucasian,no,not high risk
2013,48,4,Male,African-American,no,not high risk
2013,21,11,Male,Hispanic,yes,high risk
2013,28,1,Male,African-American,yes,not high risk
2013,20,0,Male,African-American,no,not high risk
2014,24,8,Male,African-American,yes,high risk
2014,25,1,Male,Caucasian,no,high risk
2013,63,0,Male,Caucasian,no,not high risk
2013,34,3,Female,Caucasian,no,not high risk
2014,21,0,Female,African-American,yes,not high risk
2013,22,1,Male,Hispanic,no,not high risk
2013,53,4,Male,African-American,no,not high risk
2013,26,1,Male,Native American,no,not high risk
2014,55,3,Female,African-American,no,not high risk
2013,21,3,Male,Caucasian,no,not high risk
2013,19,0,Male,African-American,yes,not high risk
2014,37,0,Male,Caucasian,no,not high risk
2013,21,0,Male,Caucasian,yes,high risk
2014,37,6,Male,Other,no,not high risk
2013,22,0,Male,African-American,no,high risk
2013,23,6,Male,African-American,no,not high risk
2013,22,2,Male,African-American,no,high risk
2013,33,0,Male,African-American,no,not high risk
2013,32,7,Male,African-American,yes,not high risk
2013,19,2,Male,African-American,yes,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,34,0,Male,Hispanic,no,not high risk
2013,21,2,Male,African-American,yes,not high risk
2013,26,0,Male,Caucasian,no,not high risk
2013,48,8,Male,Caucasian,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,18,1,Male,Hispanic,yes,not high risk
2013,55,1,Male,African-American,no,not high risk
2013,24,4,Male,African-American,no,high risk
2013,28,0,Female,Caucasian,no,not high risk
2013,21,3,Male,African-American,no,not high risk
2013,41,0,Male,Caucasian,no,not high risk
2013,20,0,Male,African-American,no,not high risk
2013,39,0,Male,Caucasian,no,not high risk
2014,33,0,Male,African-American,yes,not high risk
2013,27,18,Male,African-American,no,high risk
2013,26,1,Male,African-American,no,high risk
2013,23,3,Male,Caucasian,yes,not high risk
2013,48,5,Male,African-American,no,not high risk
2013,34,0,Male,Other,no,not high risk
2013,60,0,Male,Hispanic,no,not high risk
2014,33,1,Male,African-American,no,not high risk
2013,19,0,Male,Caucasian,no,not high risk
2013,37,0,Male,African-American,no,not high risk
2014,34,2,Male,African-American,no,not high risk
2013,66,0,Male,Caucasian,no,not high risk
2014,25,1,Male,African-American,no,not high risk
2013,25,1,Male,African-American,no,not high risk
2013,21,6,Female,African-American,no,not high risk
2013,39,0,Male,Caucasian,no,not high risk
2013,23,1,Male,Caucasian,no,not high risk
2013,23,0,Male,African-American,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,18,0,Male,Caucasian,no,not high risk
2013,27,1,Male,African-American,no,not high risk
2013,43,9,Male,Caucasian,no,not high risk
2013,23,2,Male,African-American,no,not high risk
2013,37,1,Male,African-American,no,not high risk
2013,32,0,Male,Caucasian,no,not high risk
2013,25,3,Male,Hispanic,no,not high risk
2014,57,3,Male,Caucasian,yes,not high risk
2013,34,0,Male,Native American,no,not high risk
2014,48,0,Male,African-American,no,not high risk
2013,54,8,Male,African-American,yes,not high risk
2013,28,5,Male,African-American,yes,not high risk
2014,49,1,Female,African-American,no,not high risk
2013,41,9,Male,African-American,no,high risk
2014,23,0,Female,Caucasian,no,not high risk
2013,48,5,Male,African-American,no,not high risk
2013,55,2,Male,Caucasian,no,not high risk
2013,53,0,Male,Caucasian,no,not high risk
2014,40,0,Female,African-American,no,not high risk
2013,55,16,Male,African-American,yes,high risk
2013,18,0,Male,Other,no,not high risk
2013,22,0,Female,Hispanic,no,not high risk
2013,39,1,Male,African-American,no,not high risk
2013,18,1,Male,African-American,no,not high risk
2013,53,8,Male,Hispanic,no,not high risk
2013,56,0,Male,Caucasian,no,not high risk
2013,43,2,Male,African-American,no,high risk
2013,31,4,Male,African-American,no,not high risk
2013,40,2,Male,African-American,no,not high risk
2013,34,12,Male,African-American,no,not high risk
2013,29,8,Male,African-American,no,not high risk
2013,28,5,Male,Other,yes,not high risk
2013,30,1,Female,African-American,no,not high risk
2013,22,4,Male,Caucasian,no,not high risk
2014,31,0,Female,African-American,no,not high risk
2013,18,1,Male,Hispanic,no,not high risk
2013,61,7,Female,Caucasian,no,not high risk
2013,54,1,Male,African-American,no,not high risk
2013,35,0,Male,Caucasian,yes,not high risk
2013,37,4,Female,African-American,no,not high risk
2013,31,3,Male,African-American,no,not high risk
2013,25,4,Male,African-American,no,not high risk
2013,48,0,Male,African-American,no,not high risk
2013,32,2,Male,African-American,no,not high risk
2013,58,5,Male,African-American,no,not high risk
2014,23,0,Male,African-American,no,not high risk
2013,23,0,Male,African-American,yes,not high risk
2014,40,1,Male,Caucasian,no,not high risk
2013,22,1,Female,African-American,no,not high risk
2013,27,9,Male,African-American,no,not high risk
2013,32,1,Male,Caucasian,no,not high risk
2013,30,0,Male,Caucasian,no,not high risk
2013,43,5,Male,Caucasian,no,not high risk
2013,31,1,Female,Caucasian,no,not high risk
2014,27,3,Male,African-American,yes,not high risk
2013,47,7,Female,African-American,no,not high risk
2013,18,0,Male,African-American,no,not high risk
2013,20,0,Female,African-American,no,not high risk
2013,22,1,Male,African-American,no,not high risk
2013,21,1,Female,Caucasian,no,not high risk
2013,58,0,Male,African-American,yes,not high risk
2013,26,2,Male,African-American,no,not high risk
2013,29,0,Female,Other,no,not high risk
2014,44,0,Male,Caucasian,no,not high risk
2014,19,0,Male,Caucasian,yes,not high risk
2013,25,6,Male,African-American,no,high risk
2013,32,0,Male,African-American,yes,high risk
2013,37,7,Female,African-American,no,not high risk
2013,25,2,Male,African-American,yes,not high risk
2013,43,2,Male,Caucasian,yes,not high risk
2013,54,1,Male,African-American,no,not high risk
2013,38,19,Male,African-American,yes,not high risk
2014,21,1,Male,African-American,yes,not high risk
2013,22,7,Male,African-American,no,high risk
2014,31,0,Female,Caucasian,no,not high risk
2013,45,2,Male,Caucasian,yes,high risk
2013,23,0,Male,Hispanic,no,not high risk
2014,35,0,Male,Hispanic,yes,not high risk
2013,40,7,Female,Caucasian,no,high risk
2013,29,0,Male,Caucasian,no,not high risk
2013,31,3,Male,Other,no,not high risk
2013,46,4,Male,Caucasian,no,not high risk
2013,21,0,Male,Caucasian,no,not high risk
2013,23,1,Male,African-American,no,high risk
2013,39,0,Male,Caucasian,no,not high risk
2013,33,0,Male,Hispanic,no,not high risk
2014,27,7,Male,Caucasian,yes,not high risk
2013,37,0,Male,Caucasian,no,not high risk
2013,50,0,Male,Caucasian,no,not high risk
2014,18,0,Male,Other,yes,not high risk
2013,39,4,Male,African-American,no,not high risk
2013,31,4,Male,African-American,yes,not high risk
2014,21,5,Male,Caucasian,yes,high risk
2013,19,0,Male,Caucasian,yes,not high risk
2013,22,2,Male,African-American,no,not high risk
2013,25,2,Female,Caucasian,no,not high risk
2013,48,2,Male,Other,no,not high risk
2013,21,0,Male,African-American,no,not high risk
2013,34,4,Male,African-American,no,not high risk
2013,34,0,Male,Caucasian,no,not high risk
2013,24,0,Female,Other,no,not high risk
2013,18,0,Male,Other,no,not high risk
2013,32,1,Male,African-American,yes,not high risk
2013,22,0,Female,Caucasian,no,high risk
2013,18,1,Male,Other,no,not high risk
2013,45,2,Male,Caucasian,no,not high risk
2013,36,9,Male,African-American,no,not high risk
2013,58,0,Male,Other,no,not high risk
2014,27,0,Female,African-American,no,not high risk
2013,19,3,Male,African-American,yes,not high risk
2013,50,0,Male,Caucasian,no,not high risk
2014,24,0,Male,Caucasian,no,not high risk
2014,24,0,Male,Other,no,not high risk
2013,27,6,Male,African-American,no,not high risk
2013,25,4,Male,African-American,yes,high risk
2013,23,2,Male,Caucasian,no,not high risk
2014,44,4,Female,African-American,no,not high risk
2014,44,0,Female,African-American,no,not high risk
2013,36,8,Male,Caucasian,no,not high risk
2014,27,12,Male,African-American,yes,high risk
2013,38,0,Male,Caucasian,no,not high risk
2013,23,5,Female,African-American,no,not high risk
2013,20,2,Male,African-American,no,not high risk
2013,28,0,Male,Caucasian,no,not high risk
2013,31,1,Male,Caucasian,no,not high risk
2013,49,2,Male,Caucasian,no,not high risk
2013,48,4,Male,African-American,yes,not high risk
2013,46,1,Female,Caucasian,no,not high risk
2013,23,9,Female,African-American,yes,not high risk
2013,45,0,Female,Caucasian,no,not high risk
2013,24,0,Male,African-American,no,not high risk
2013,18,0,Male,African-American,no,not high risk
2013,27,3,Male,Caucasian,yes,not high risk
2014,68,0,Male,Caucasian,no,not high risk
2013,35,15,Male,African-American,no,not high risk
2013,26,0,Male,African-American,no,not high risk
2013,35,3,Male,Hispanic,no,not high risk
2013,24,0,Female,Caucasian,no,not high risk
2013,41,0,Male,Hispanic,no,not high risk
2013,27,6,Male,Caucasian,no,not high risk
2013,27,0,Female,African-American,no,not high risk
2013,37,3,Male,African-American,no,not high risk
2013,46,3,Female,Caucasian,yes,not high risk
2013,30,1,Male,Caucasian,no,not high risk
2013,28,1,Male,Hispanic,no,not high risk
2013,58,1,Male,Caucasian,no,not high risk
2013,28,2,Male,Caucasian,no,not high risk
2013,59,0,Male,Caucasian,no,not high risk
2013,45,9,Male,Caucasian,no,not high risk
2013,38,0,Female,Caucasian,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2013,60,0,Male,Caucasian,no,not high risk
2013,43,0,Male,Hispanic,no,not high risk
2013,30,4,Male,African-American,no,high risk
2013,18,1,Female,African-American,yes,not high risk
2013,48,1,Male,African-American,no,not high risk
2013,36,3,Male,Caucasian,yes,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,56,0,Male,Caucasian,no,not high risk
2014,36,37,Male,African-American,yes,not high risk
2013,20,2,Male,African-American,no,not high risk
2013,18,1,Male,African-American,yes,not high risk
2013,35,2,Male,African-American,yes,not high risk
2013,30,2,Female,Caucasian,no,not high risk
2013,29,1,Male,African-American,no,not high risk
2014,58,3,Male,Caucasian,no,not high risk
2014,41,0,Male,African-American,no,not high risk
2014,38,1,Male,African-American,no,not high risk
2013,23,1,Male,African-American,no,not high risk
2013,19,0,Male,African-American,no,not high risk
2013,38,0,Female,Other,no,not high risk
2013,34,0,Female,Caucasian,no,not high risk
2013,18,1,Male,Other,no,not high risk
2013,42,1,Female,African-American,no,not high risk
2013,19,1,Male,Caucasian,no,high risk
2013,47,7,Male,African-American,no,high risk
2013,33,6,Male,Caucasian,yes,not high risk
2013,49,1,Male,African-American,yes,not high risk
2013,46,0,Male,Caucasian,no,not high risk
2013,45,0,Male,Caucasian,no,not high risk
2014,45,0,Male,African-American,no,not high risk
2013,59,1,Male,African-American,no,not high risk
2013,32,13,Male,African-American,no,high risk
2013,50,2,Male,African-American,no,not high risk
2013,36,7,Female,African-American,no,not high risk
2014,18,0,Male,Caucasian,yes,high risk
2014,51,1,Male,Caucasian,no,not high risk
2014,20,0,Male,African-American,no,not high risk
2013,42,1,Male,African-American,no,not high risk
2014,25,0,Female,Caucasian,no,not high risk
2013,22,0,Male,Caucasian,no,not high risk
2014,26,3,Male,Caucasian,no,not high risk
2013,33,3,Male,African-American,yes,not high risk
2013,39,1,Male,African-American,no,not high risk
2013,30,2,Female,Caucasian,no,not high risk
2014,40,0,Female,Caucasian,no,not high risk
2013,25,0,Female,African-American,no,not high risk
2014,25,25,Male,African-American,yes,high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,32,0,Male,Caucasian,no,not high risk
2013,25,1,Male,Caucasian,no,not high risk
2013,43,2,Male,Caucasian,no,not high risk
2013,31,3,Male,African-American,no,not high risk
2013,22,1,Female,African-American,no,not high risk
2013,18,1,Male,African-American,yes,high risk
2014,46,1,Male,African-American,no,not high risk
2013,34,1,Male,Caucasian,no,not high risk
2014,35,1,Male,Caucasian,yes,not high risk
2014,37,1,Male,Caucasian,no,not high risk
2013,46,2,Male,Other,no,not high risk
2013,32,3,Male,African-American,yes,high risk
2013,39,5,Male,Caucasian,no,not high risk
2013,50,1,Male,African-American,no,not high risk
2013,36,0,Male,Caucasian,no,not high risk
2013,46,7,Male,Caucasian,no,not high risk
2013,33,2,Male,Caucasian,no,not high risk
2013,21,1,Female,African-American,no,high risk
2014,33,0,Male,Hispanic,no,not high risk
2014,21,3,Male,African-American,no,not high risk
2013,23,2,Male,African-American,no,not high risk
2013,27,14,Female,African-American,yes,high risk
2013,22,2,Male,Caucasian,no,not high risk
2013,23,2,Male,African-American,no,not high risk
2013,24,7,Male,African-American,no,high risk
2013,57,0,Male,Hispanic,no,not high risk
2014,18,0,Female,African-American,no,not high risk
2014,21,0,Male,Caucasian,no,not high risk
2013,23,5,Male,African-American,yes,not high risk
2014,38,4,Male,Caucasian,no,not high risk
2014,26,1,Male,Other,yes,not high risk
2014,51,1,Male,Caucasian,no,not high risk
2013,53,5,Male,Caucasian,no,not high risk
2013,21,0,Female,African-American,no,not high risk
2013,28,0,Male,Hispanic,no,not high risk
2013,30,2,Female,Caucasian,no,not high risk
2013,23,8,Male,Caucasian,yes,high risk
2013,54,1,Male,Caucasian,no,not high risk
2013,29,2,Male,Caucasian,no,not high risk
2014,24,0,Male,Caucasian,yes,not high risk
2013,18,1,Male,African-American,no,not high risk
2013,35,3,Male,African-American,no,not high risk
2013,21,0,Male,Caucasian,yes,not high risk
2014,65,4,Male,African-American,no,not high risk
2014,18,0,Male,Caucasian,yes,not high risk
2014,22,1,Male,African-American,yes,not high risk
2014,21,0,Male,Hispanic,no,not high risk
2013,45,3,Male,African-American,no,not high risk
2014,26,0,Male,Caucasian,no,not high risk
2013,63,3,Male,Caucasian,no,not high risk
2013,30,0,Male,Hispanic,no,not high risk
2013,38,4,Male,Caucasian,no,not high risk
2013,49,0,Male,African-American,no,not high risk
2013,19,1,Male,Caucasian,no,high risk
2013,33,9,Male,Caucasian,no,not high risk
2014,39,0,Male,Caucasian,yes,not high risk
2013,27,1,Male,Caucasian,yes,high risk
2013,40,1,Male,African-American,no,not high risk
2013,42,4,Male,Caucasian,no,not high risk
2014,36,4,Male,African-American,no,not high risk
2013,37,2,Male,Hispanic,yes,not high risk
2014,24,0,Male,Caucasian,no,not high risk
2013,24,2,Male,Hispanic,no,not high risk
2013,59,1,Male,Caucasian,no,not high risk
2013,54,0,Male,Caucasian,no,not high risk
2013,21,3,Male,Caucasian,yes,not high risk
2013,31,1,Male,African-American,no,not high risk
2013,24,1,Male,Hispanic,no,not high risk
2013,32,10,Male,African-American,yes,high risk
2013,50,1,Male,Other,no,not high risk
2013,42,0,Male,African-American,no,not high risk
2013,58,10,Male,Caucasian,no,not high risk
2013,40,4,Male,African-American,no,not high risk
2013,36,4,Male,African-American,no,not high risk
2013,50,0,Female,Caucasian,no,not high risk
2013,23,3,Male,African-American,yes,high risk
2014,48,0,Male,Caucasian,no,not high risk
2013,40,16,Male,Caucasian,no,not high risk
2014,23,4,Male,African-American,yes,not high risk
2013,47,0,Male,Caucasian,no,not high risk
2014,33,0,Female,Caucasian,no,not high risk
2013,36,0,Male,Caucasian,no,not high risk
2013,21,2,Female,African-American,no,not high risk
2013,51,7,Female,African-American,no,not high risk
2013,26,0,Male,African-American,no,not high risk
2014,24,0,Male,Caucasian,no,not high risk
2013,32,0,Male,Caucasian,no,not high risk
2013,18,0,Male,African-American,no,not high risk
2014,24,4,Male,African-American,yes,high risk
2013,22,0,Male,African-American,no,not high risk
2013,52,1,Male,African-American,no,not high risk
2013,19,0,Male,African-American,no,high risk
2014,24,0,Female,African-American,no,not high risk
2013,53,0,Male,Other,no,not high risk
2013,63,1,Male,Caucasian,no,not high risk
2013,43,2,Male,Other,no,not high risk
2013,25,4,Male,African-American,no,not high risk
2013,30,8,Male,African-American,yes,not high risk
2014,29,0,Female,African-American,no,not high risk
2013,23,1,Male,African-American,no,not high risk
2013,33,4,Male,African-American,no,not high risk
2014,39,12,Female,Caucasian,yes,not high risk
2013,31,0,Male,Caucasian,no,not high risk
2013,30,0,Male,Other,no,not high risk
2014,30,0,Female,African-American,no,not high risk
2013,34,9,Male,African-American,yes,not high risk
2013,47,1,Male,African-American,no,not high risk
2013,32,1,Male,Caucasian,no,not high risk
2013,49,8,Female,African-American,no,high risk
2013,24,5,Male,African-American,yes,not high risk
2013,33,1,Male,African-American,yes,high risk
2014,18,0,Male,Other,yes,high risk
2014,22,0,Male,African-American,no,not high risk
2013,18,1,Male,African-American,yes,high risk
2013,51,0,Male,Caucasian,no,not high risk
2013,47,0,Male,Caucasian,no,not high risk
2013,39,1,Male,Caucasian,no,not high risk
2013,58,30,Male,African-American,no,not high risk
2013,71,0,Male,Caucasian,no,not high risk
2013,34,0,Female,Hispanic,no,not high risk
2014,73,2,Male,Caucasian,no,not high risk
2013,36,1,Female,African-American,no,not high risk
2013,36,0,Female,Caucasian,no,not high risk
2013,35,0,Female,African-American,no,not high risk
2013,50,2,Male,African-American,no,not high risk
2013,50,1,Male,Caucasian,no,not high risk
2013,50,4,Male,African-American,no,not high risk
2013,19,2,Male,African-American,no,high risk
2013,62,1,Female,Caucasian,no,not high risk
2013,35,1,Male,Hispanic,no,not high risk
2014,39,0,Female,Hispanic,no,not high risk
2013,50,0,Male,Other,no,not high risk
